id,name,country,sitename,latitude,longitude,elevation,collector,collectiondate,csnumber
1,ALL1-2,FRA,ALL1,45.2667,1.48333,293,Valerie Le Corre,NULL,NULL
2,ALL1-3,FRA,ALL1,45.2667,1.48333,293,Valerie Le Corre,NULL,NULL
3,ALL1-4,FRA,ALL1,45.2667,1.48333,293,Valerie Le Corre,NULL,NULL
4,ALL1-5,FRA,ALL1,45.2667,1.48333,293,Valerie Le Corre,NULL,NULL
5,ALL1-6,FRA,ALL1,45.2667,1.48333,293,Valerie Le Corre,NULL,NULL
6,ALL1-7,FRA,ALL1,45.2667,1.48333,293,Valerie Le Corre,NULL,NULL
7,ALL1-8,FRA,ALL1,45.2667,1.48333,293,Valerie Le Corre,NULL,NULL
8,ALL1-9,FRA,ALL1,45.2667,1.48333,293,Valerie Le Corre,NULL,NULL
9,ALL2-1,FRA,ALL2,45.2667,1.48333,293,Valerie Le Corre,NULL,NULL
10,ALL2-2,FRA,ALL2,45.2667,1.48333,293,Valerie Le Corre,NULL,NULL
11,ALL2-3,FRA,ALL2,45.2667,1.48333,293,Valerie Le Corre,NULL,NULL
12,ALL2-4,FRA,ALL2,45.2667,1.48333,293,Valerie Le Corre,NULL,NULL
13,ALL2-5,FRA,ALL2,45.2667,1.48333,293,Valerie Le Corre,NULL,NULL
14,ALL2-6,FRA,ALL2,45.2667,1.48333,293,Valerie Le Corre,NULL,NULL
15,BUI,FRA,BUI,48.3667,0.933333,189,Valerie Le Corre,NULL,NULL
16,CAM-1,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
17,CAM-10,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
18,CAM-11,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
19,CAM-12,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
20,CAM-13,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
21,CAM-14,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
22,CAM-15,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
23,CAM-16,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
24,CAM-17,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
25,CAM-18,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
26,CAM-19,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
27,CAM-20,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
28,CAM-21,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
29,CAM-22,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
30,CAM-23,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
31,CAM-24,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
32,CAM-25,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
33,CAM-27,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
34,CAM-28,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
35,CAM-29,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
36,CAM-3,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
37,CAM-30,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
38,CAM-31,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
39,CAM-33,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
40,CAM-35,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
41,CAM-36,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
42,CAM-37,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
43,CAM-38,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
44,CAM-4,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
45,CAM-42,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
46,CAM-43,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
47,CAM-44,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
48,CAM-45,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
49,CAM-46,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
50,CAM-47,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
51,CAM-48,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
52,CAM-49,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
53,CAM-5,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
54,CAM-50,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
55,CAM-51,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
56,CAM-52,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
57,CAM-53,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
58,CAM-54,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
59,CAM-55,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
60,CAM-56,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
61,CAM-57,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
62,CAM-58,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
63,CAM-59,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
64,CAM-6,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
65,CAM-60,FRA,CAM,48.2667,-4.58333,35,Valerie Le Corre,NULL,NULL
