pk,name,country,latitude,longitude,collector,collection_date,cs_number,species,genotypes,count_phenotypes
88,CYR,France,47.4,0.683333,Valerie Le Corre,,CS76790,Arabidopsis thaliana,,35
108,LDV-18,France,48.5167,-4.06667,Valerie Le Corre,,CS77013,Arabidopsis thaliana,,27
139,LDV-46,France,48.5167,-4.06667,Valerie Le Corre,,CS77014,Arabidopsis thaliana,,30
159,MAR2-3,France,47.35,3.93333,Valerie Le Corre,,CS77070,Arabidopsis thaliana,,638
265,PYL-6,France,44.65,-1.16667,Valerie Le Corre,,CS77198,Arabidopsis thaliana,,158
350,TOU-A1-88,France,46.6667,4.11667,Fabrice Roux,,CS77382,Arabidopsis thaliana,,38
351,TOU-A1-89,France,46.6667,4.11667,Fabrice Roux,,CS77383,Arabidopsis thaliana,,22
403,Zdarec3,Czech Republic,49.3667,16.2667,Marie-Theres Hauser,,CS78873,Arabidopsis thaliana,,626
410,Doubravnik7,Czech Republic,49.4211,16.3497,Marie-Theres Hauser,,CS76808,Arabidopsis thaliana,,33
424,Draha2,Czech Republic,49.4112,16.2815,Marie-Theres Hauser,,CS76812,Arabidopsis thaliana,,22
428,Borky1,Czech Republic,49.403,16.232,Marie-Theres Hauser,,CS76718,Arabidopsis thaliana,,24
430,Gr-1,Austria,47.0,15.5,Albert Kranz,,CS76496,Arabidopsis thaliana,,51
470,BRR4,US,40.8313,-87.735,Diane Byers,,CS78943,Arabidopsis thaliana,,0
476,BRR12,US,40.8313,-87.735,Diane Byers,,CS78944,Arabidopsis thaliana,,7
484,BRR23,US,40.8313,-87.735,Diane Byers,,CS78945,Arabidopsis thaliana,,3
504,BRR57,US,40.8313,-87.735,Diane Byers,,CS78946,Arabidopsis thaliana,,3
506,BRR60,US,40.8313,-87.735,Diane Byers,,CS78947,Arabidopsis thaliana,,3
531,BRR107,US,40.8313,-87.735,Diane Byers,,CS78948,Arabidopsis thaliana,,3
544,LI-WP-039,US,40.9076,-73.2089,Oliver Bossdorf,,CS78949,Arabidopsis thaliana,,10
546,LI-WP-041,US,40.9076,-73.2089,Oliver Bossdorf,,CS78950,Arabidopsis thaliana,,3
628,LI-OF-061,US,40.7777,-72.9069,Oliver Bossdorf,,CS78951,Arabidopsis thaliana,,10
630,LI-OF-065,US,40.7777,-72.9069,Oliver Bossdorf,,CS77036,Arabidopsis thaliana,,15
680,LI-RR-096,US,40.9447,-72.8615,Oliver Bossdorf,,CS78952,Arabidopsis thaliana,,7
681,LI-RR-097,US,40.9447,-72.8615,Oliver Bossdorf,,CS78953,Arabidopsis thaliana,,0
685,LI-EF-011,US,40.9064,-73.1493,Oliver Bossdorf,,CS78954,Arabidopsis thaliana,,0
687,LI-EF-018,US,40.9064,-73.1493,Oliver Bossdorf,,CS78955,Arabidopsis thaliana,,7
728,LI-SET-019,US,40.9352,-73.114,Oliver Bossdorf,,CS78956,Arabidopsis thaliana,,0
742,LI-SET-036,US,40.9352,-73.114,Oliver Bossdorf,,CS78957,Arabidopsis thaliana,,7
763,Kar-1,Kyrgyzstan,42.3,74.3667,Olivier Loudet,,CS76522,Arabidopsis thaliana,,189
765,Sus-1,Kyrgyzstan,42.1833,73.4,Olivier Loudet,,CS76607,Arabidopsis thaliana,,190
766,Dja-1,Kyrgyzstan,42.5833,73.6333,Olivier Loudet,,CS76473,Arabidopsis thaliana,,175
768,Zal-1,Kyrgyzstan,42.8,76.35,Olivier Loudet,,CS76634,Arabidopsis thaliana,,177
772,Neo-6,Tajikistan,37.35,72.4667,Olivier Loudet,,CS76560,Arabidopsis thaliana,,190
801,KYC-33,US,37.9169,-84.4639,Kathleen Donohue,,CS76992,Arabidopsis thaliana,,43
853,MIA-1,US,41.7976,-86.6691,Kathleen Donohue,,CS78958,Arabidopsis thaliana,,0
854,MIA-5,US,41.7976,-86.6691,Kathleen Donohue,,CS78959,Arabidopsis thaliana,,7
867,MIC-20,US,41.8266,-86.4366,Kathleen Donohue,,CS78960,Arabidopsis thaliana,,0
868,MIC-24,US,41.8266,-86.4366,Kathleen Donohue,,CS78961,Arabidopsis thaliana,,0
870,MIC-31,US,41.8266,-86.4366,Kathleen Donohue,,CS77082,Arabidopsis thaliana,,9
915,LIN S-5,US,41.8972,-71.4378,Kathleen Donohue,,CS77040,Arabidopsis thaliana,,36
932,CHA-41,US,42.3634,-71.1445,Kathleen Donohue,,CS76765,Arabidopsis thaliana,,33
991,Ale-Stenar-41-1,Sweden,55.3833,14.05,Jon Ågren,,CS76651,Arabidopsis thaliana,,512
992,Ale-Stenar-44-4,Sweden,55.3833,14.05,Jon Ågren,,CS76652,Arabidopsis thaliana,,519
997,Ale-Stenar-56-14,Sweden,55.3833,14.05,Jon Ågren,,CS76653,Arabidopsis thaliana,,28
1002,Ale-Stenar-64-24,Sweden,55.3833,14.05,Jon Ågren,,CS76654,Arabidopsis thaliana,,520
1006,Ale-Stenar-77-31,Sweden,55.3833,14.05,Jon Ågren,,CS77636,Arabidopsis thaliana,,489
1061,Brösarp-11-135,Sweden,55.7167,14.1333,Jon Ågren,,CS76727,Arabidopsis thaliana,,512
1062,Brösarp-15-138,Sweden,55.7167,14.1333,Jon Ågren,,CS76728,Arabidopsis thaliana,,504
1063,Brösarp-21-140,Sweden,55.7167,14.1333,Jon Ågren,,CS76729,Arabidopsis thaliana,,504
1066,Brösarp-34-145,Sweden,55.7167,14.1333,Jon Ågren,,CS76730,Arabidopsis thaliana,,13
1070,Brösarp-45-153,Sweden,55.7167,14.1333,Jon Ågren,,CS77643,Arabidopsis thaliana,,492
1158,Aledal-6-49,Sweden,56.7,16.5167,Jon Ågren,,CS76656,Arabidopsis thaliana,,16
1166,Aledal-14-73,Sweden,56.7,16.5167,Jon Ågren,,CS77651,Arabidopsis thaliana,,12
1254,Tos-82-387,Sweden,59.4333,17.0167,Jon Ågren,,CS77379,Arabidopsis thaliana,,25
1257,Tos-95-393,Sweden,59.4333,17.0167,Jon Ågren,,CS77380,Arabidopsis thaliana,,498
1313,Ängsö-59-422,Sweden,59.5667,16.8667,Jon Ågren,,CS77658,Arabidopsis thaliana,,7
1317,Ängsö-74-430,Sweden,59.5667,16.8667,Jon Ågren,,CS76665,Arabidopsis thaliana,,503
1552,Sku-30,Sweden,63.0833,18.3667,Jon Ågren,,CS77251,Arabidopsis thaliana,,140
1612,Brn-10,US,41.9,-86.583,Diane Byers,,CS78962,Arabidopsis thaliana,,0
1622,Brn-24,US,41.9,-86.583,Diane Byers,,CS78963,Arabidopsis thaliana,,0
1651,DuckLkSP38,US,43.3431,-86.4045,Diane Byers,,CS78964,Arabidopsis thaliana,,7
1652,DuckLkSP40,US,43.3431,-86.4045,Diane Byers,,CS78965,Arabidopsis thaliana,,0
1676,Haz-2,US,41.879,-86.607,Diane Byers,,CS78966,Arabidopsis thaliana,,7
1684,Haz-10,US,41.879,-86.607,Diane Byers,,CS78967,Arabidopsis thaliana,,0
1739,KBS-Mac-68,US,42.405,-85.398,Diane Byers,,CS78968,Arabidopsis thaliana,,23
1741,KBS-Mac-74,US,42.405,-85.398,Diane Byers,,CS78969,Arabidopsis thaliana,,0
1756,Ker-4,US,42.184,-86.358,Diane Byers,,CS78970,Arabidopsis thaliana,,0
1757,Ker-5,US,42.184,-86.358,Diane Byers,,CS78971,Arabidopsis thaliana,,0
1793,L-R-5,US,41.847,-86.67,Diane Byers,,CS78972,Arabidopsis thaliana,,0
1797,L-R-10,US,41.847,-86.67,Diane Byers,,CS78973,Arabidopsis thaliana,,0
1819,Lak-12,US,41.8,-86.67,Diane Byers,,CS78974,Arabidopsis thaliana,,0
1820,Lak-13,US,41.8,-86.67,Diane Byers,,CS78975,Arabidopsis thaliana,,0
1829,Mdn-1,US,42.051,-86.509,Diane Byers,,CS77077,Arabidopsis thaliana,,539
1834,Mdn-8,US,42.051,-86.509,Diane Byers,,CS78976,Arabidopsis thaliana,,0
1835,Mdn-10,US,42.051,-86.509,Diane Byers,,CS78977,Arabidopsis thaliana,,0
1851,MNF-Pot-10,US,43.595,-86.2657,Diane Byers,,CS78978,Arabidopsis thaliana,,0
1852,MNF-Pot-15,US,43.595,-86.2657,Diane Byers,,CS78979,Arabidopsis thaliana,,0
1853,MNF-Pot-21,US,43.595,-86.2657,Diane Byers,,CS77099,Arabidopsis thaliana,,12
1872,MNF-Pot-75,US,43.595,-86.2657,Diane Byers,,CS77100,Arabidopsis thaliana,,491
1890,MNF-Riv-21,US,43.5139,-86.1859,Diane Byers,,CS77101,Arabidopsis thaliana,,36
1925,MNF-Che-2,US,43.5251,-86.1843,Diane Byers,,CS77096,Arabidopsis thaliana,,631
1942,MNF-Che-47,US,43.5251,-86.1843,Diane Byers,,CS78980,Arabidopsis thaliana,,0
1943,MNF-Che-49,US,43.5251,-86.1843,Diane Byers,,CS78981,Arabidopsis thaliana,,0
1954,MNF-Jac-12,US,43.5187,-86.1739,Diane Byers,,CS77097,Arabidopsis thaliana,,36
2016,MNF-Pin-39,US,43.5356,-86.1788,Diane Byers,,CS77098,Arabidopsis thaliana,,494
2017,MNF-Pin-40,US,43.5356,-86.1788,Diane Byers,,CS78982,Arabidopsis thaliana,,0
2031,Map-8,US,42.166,-86.412,Diane Byers,,CS78983,Arabidopsis thaliana,,0
2053,Map-35,US,42.166,-86.412,Diane Byers,,CS78984,Arabidopsis thaliana,,0
2057,Map-42,US,42.166,-86.412,Diane Byers,,CS77732,Arabidopsis thaliana,,694
2081,MuskSP-68,US,43.2483,-86.3368,Diane Byers,,CS78985,Arabidopsis thaliana,,0
2091,MuskSP-83,US,43.2483,-86.3368,Diane Byers,,CS78986,Arabidopsis thaliana,,7
2106,MSGA-10,US,43.2749,-86.0891,Diane Byers,,CS78987,Arabidopsis thaliana,,0
2108,MSGA-12,US,43.2749,-86.0891,Diane Byers,,CS78988,Arabidopsis thaliana,,0
2141,MSGA-61,US,43.2749,-86.0891,Diane Byers,,CS78989,Arabidopsis thaliana,,7
